,date,time,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,gls,sh,sot,sot%,g/sh,g/sot,dist,fk,pk,pkatt,npxg,npxg/sh,g-xg,np:g-xg,season,team,comp
10,2019-11-09,18:30,Matchweek 11,Sat,Home,W,4.0,0.0,Dortmund,3.7,0.7,60.0,75000.0,Manuel Neuer,4-1-4-1,Felix Zwayer,Match Report,,3,18,5,27.8,0.17,0.6,15.5,0.0,0,0,3.7,0.21,-0.7,-0.7,2019-2020,Bayern Munich,
11,2019-11-23,15:30,Matchweek 12,Sat,Away,W,4.0,0.0,Düsseldorf,3.7,0.7,70.0,53000.0,Manuel Neuer,4-1-4-1,Frank Willenborg,Match Report,,4,17,5,29.4,0.24,0.8,12.9,1.0,0,0,3.7,0.22,0.3,0.3,2019-2020,Bayern Munich,
12,2019-11-30,18:30,Matchweek 13,Sat,Home,L,1.0,2.0,Leverkusen,2.8,1.3,74.0,75000.0,Manuel Neuer,4-1-4-1,Guido Winkmann,Match Report,,1,23,11,47.8,0.04,0.09,17.1,1.0,0,0,2.8,0.12,-1.8,-1.8,2019-2020,Bayern Munich,
13,2019-12-07,15:30,Matchweek 14,Sat,Away,L,1.0,2.0,M'Gladbach,1.5,1.2,62.0,54022.0,Manuel Neuer,4-2-3-1,Marco Fritz,Match Report,,1,16,5,31.3,0.06,0.2,15.6,0.0,0,0,1.5,0.09,-0.5,-0.5,2019-2020,Bayern Munich,
14,2019-12-14,15:30,Matchweek 15,Sat,Home,W,6.0,1.0,Werder Bremen,5.5,0.6,73.0,75000.0,Manuel Neuer,4-2-3-1,Robert Schröder,Match Report,,6,28,14,50.0,0.21,0.43,16.7,0.0,0,0,5.5,0.2,0.5,0.5,2019-2020,Bayern Munich,
15,2019-12-18,20:30,Matchweek 16,Wed,Away,W,3.0,1.0,Freiburg,4.3,2.1,64.0,24000.0,Manuel Neuer,4-3-3,Sascha Stegemann,Match Report,,3,22,9,40.9,0.14,0.33,15.8,0.0,0,0,4.3,0.2,-1.3,-1.3,2019-2020,Bayern Munich,
16,2019-12-21,15:30,Matchweek 17,Sat,Home,W,2.0,0.0,Wolfsburg,1.5,0.9,69.0,75000.0,Manuel Neuer,4-3-3,Christian Dingert,Match Report,,2,18,8,44.4,0.11,0.25,19.4,1.0,0,0,1.5,0.08,0.5,0.5,2019-2020,Bayern Munich,
17,2020-01-19,15:30,Matchweek 18,Sun,Away,W,4.0,0.0,Hertha BSC,3.3,1.0,67.0,74667.0,Manuel Neuer,4-2-3-1,Tobias Stieler,Match Report,,4,19,10,52.6,0.16,0.3,15.0,0.0,1,1,2.5,0.13,0.7,0.5,2019-2020,Bayern Munich,
18,2020-01-25,18:30,Matchweek 19,Sat,Home,W,5.0,0.0,Schalke 04,3.7,0.4,75.0,75000.0,Manuel Neuer,4-2-3-1,Manuel Gräfe,Match Report,,5,24,14,58.3,0.21,0.36,15.3,1.0,0,0,3.7,0.15,1.3,1.3,2019-2020,Bayern Munich,
19,2020-02-01,15:30,Matchweek 20,Sat,Away,W,3.0,1.0,Mainz 05,2.0,0.4,68.0,33305.0,Manuel Neuer,4-2-3-1,Bastian Dankert,Match Report,,3,13,5,38.5,0.23,0.6,14.5,0.0,0,0,2.0,0.16,1.0,1.0,2019-2020,Bayern Munich,
20,2020-02-09,18:00,Matchweek 21,Sun,Home,D,0.0,0.0,RB Leipzig,1.3,1.5,69.0,75000.0,Manuel Neuer,4-2-3-1,Marco Fritz,Match Report,,0,11,2,18.2,0.0,0.0,12.3,0.0,0,0,1.3,0.12,-1.3,-1.3,2019-2020,Bayern Munich,
21,2020-02-16,15:30,Matchweek 22,Sun,Away,W,4.0,1.0,Köln,2.6,2.5,61.0,50000.0,Manuel Neuer,4-2-3-1,Felix Zwayer,Match Report,,4,24,8,33.3,0.17,0.5,18.2,0.0,0,0,2.6,0.11,1.4,1.4,2019-2020,Bayern Munich,
22,2020-02-21,20:30,Matchweek 23,Fri,Home,W,3.0,2.0,Paderborn 07,3.1,1.7,71.0,75000.0,Manuel Neuer,3-4-3,Markus Schmidt,Match Report,,3,18,9,50.0,0.17,0.33,13.7,0.0,0,0,3.1,0.17,-0.1,-0.1,2019-2020,Bayern Munich,
23,2020-02-29,15:30,Matchweek 24,Sat,Away,W,6.0,0.0,Hoffenheim,4.2,0.3,66.0,30150.0,Manuel Neuer,4-2-3-1,Christian Dingert,Match Report,,6,25,11,44.0,0.24,0.55,13.8,0.0,0,0,4.2,0.17,1.8,1.8,2019-2020,Bayern Munich,
24,2020-03-08,15:30,Matchweek 25,Sun,Home,W,2.0,0.0,Augsburg,3.5,0.7,73.0,75000.0,Manuel Neuer,4-2-3-1,Bibiana Steinhaus,Match Report,,2,18,6,33.3,0.11,0.33,13.6,0.0,0,0,3.5,0.2,-1.5,-1.5,2019-2020,Bayern Munich,
25,2020-05-17,18:00,Matchweek 26,Sun,Away,W,2.0,0.0,Union Berlin,1.5,0.6,67.0,,Manuel Neuer,4-2-3-1,Bastian Dankert,Match Report,,2,12,2,16.7,0.08,0.5,20.6,1.0,1,1,0.8,0.06,0.5,0.2,2019-2020,Bayern Munich,
26,2020-05-23,18:30,Matchweek 27,Sat,Home,W,5.0,2.0,Eint Frankfurt,3.0,1.2,65.0,,Manuel Neuer,4-2-3-1,Marco Fritz,Match Report,,4,23,10,43.5,0.17,0.4,17.5,0.0,0,0,3.0,0.13,1.0,1.0,2019-2020,Bayern Munich,
27,2020-05-26,18:30,Matchweek 28,Tue,Away,W,1.0,0.0,Dortmund,0.7,0.7,49.0,,Manuel Neuer,4-2-3-1,Tobias Stieler,Match Report,,1,11,4,36.4,0.09,0.25,20.6,0.0,0,0,0.7,0.06,0.3,0.3,2019-2020,Bayern Munich,
28,2020-05-30,18:30,Matchweek 29,Sat,Home,W,5.0,0.0,Düsseldorf,2.5,0.7,69.0,,Manuel Neuer,4-2-3-1,Robert Hartmann,Match Report,,4,21,8,38.1,0.19,0.5,18.4,1.0,0,0,2.5,0.12,1.5,1.5,2019-2020,Bayern Munich,
29,2020-06-06,15:30,Matchweek 30,Sat,Away,W,4.0,2.0,Leverkusen,2.8,0.8,52.0,,Manuel Neuer,4-2-3-1,Manuel Gräfe,Match Report,,4,16,10,62.5,0.25,0.4,15.7,1.0,0,0,2.8,0.17,1.2,1.2,2019-2020,Bayern Munich,
30,2020-06-13,18:30,Matchweek 31,Sat,Home,W,2.0,1.0,M'Gladbach,1.6,1.1,49.0,,Manuel Neuer,4-2-3-1,Felix Zwayer,Match Report,,2,10,5,50.0,0.2,0.4,15.5,0.0,0,0,1.6,0.16,0.4,0.4,2019-2020,Bayern Munich,
31,2020-06-16,20:30,Matchweek 32,Tue,Away,W,1.0,0.0,Werder Bremen,1.5,0.4,59.0,,Manuel Neuer,4-2-3-1,Harm Osmers,Match Report,,1,13,3,23.1,0.08,0.33,15.6,0.0,0,0,1.5,0.12,-0.5,-0.5,2019-2020,Bayern Munich,
32,2020-06-20,15:30,Matchweek 33,Sat,Home,W,3.0,1.0,Freiburg,2.1,1.7,61.0,,Thomas Müller,4-2-3-1,Sören Storks,Match Report,,3,23,9,39.1,0.13,0.33,19.3,0.0,0,0,2.1,0.09,0.9,0.9,2019-2020,Bayern Munich,
33,2020-06-27,15:30,Matchweek 34,Sat,Away,W,4.0,0.0,Wolfsburg,3.3,0.9,60.0,,Manuel Neuer,4-2-3-1,Patrick Ittrich,Match Report,,4,15,8,53.3,0.2,0.38,16.7,0.0,1,1,2.5,0.17,0.7,0.5,2019-2020,Bayern Munich,
0,2019-08-17,15:30,Matchweek 1,Sat,Home,W,5.0,1.0,Augsburg,3.2,0.9,78.0,81365.0,Marco Reus,4-2-3-1,Frank Willenborg,Match Report,,5,22,9,40.9,0.23,0.56,16.5,0.0,0,0,3.2,0.15,1.8,1.8,2019-2020,Dortmund,
1,2019-08-23,20:30,Matchweek 2,Fri,Away,W,3.0,1.0,Köln,2.2,0.9,73.0,50000.0,Marco Reus,4-2-3-1,Christian Dingert,Match Report,,3,14,6,42.9,0.21,0.5,18.3,1.0,0,0,2.2,0.16,0.8,0.8,2019-2020,Dortmund,
2,2019-08-31,18:30,Matchweek 3,Sat,Away,L,1.0,3.0,Union Berlin,1.7,1.4,73.0,22012.0,Marco Reus,4-2-3-1,Felix Brych,Match Report,,1,13,2,15.4,0.08,0.5,20.6,1.0,0,0,1.7,0.13,-0.7,-0.7,2019-2020,Dortmund,
3,2019-09-14,15:30,Matchweek 4,Sat,Home,W,4.0,0.0,Leverkusen,2.9,0.9,33.0,81365.0,Marco Reus,4-2-3-1,Daniel Siebert,Match Report,,4,9,7,77.8,0.44,0.57,10.4,0.0,0,0,2.9,0.36,1.1,1.1,2019-2020,Dortmund,
4,2019-09-22,18:00,Matchweek 5,Sun,Away,D,2.0,2.0,Eint Frankfurt,1.9,1.3,62.0,51500.0,Marco Reus,4-2-3-1,Markus Schmidt,Match Report,,2,16,7,43.8,0.13,0.29,14.7,1.0,0,0,1.9,0.13,0.1,0.1,2019-2020,Dortmund,
5,2019-09-28,18:30,Matchweek 6,Sat,Home,D,2.0,2.0,Werder Bremen,1.5,0.8,65.0,81365.0,Marco Reus,4-2-3-1,Deniz Aytekin,Match Report,,2,18,7,38.9,0.11,0.29,16.7,0.0,0,0,1.5,0.09,0.5,0.5,2019-2020,Dortmund,
6,2019-10-05,15:30,Matchweek 7,Sat,Away,D,2.0,2.0,Freiburg,0.8,0.3,65.0,24000.0,Marco Reus,4-2-3-1,Sven Jablonski,Match Report,,2,8,4,50.0,0.25,0.5,16.4,0.0,0,0,0.8,0.1,1.2,1.2,2019-2020,Dortmund,
7,2019-10-19,18:30,Matchweek 8,Sat,Home,W,1.0,0.0,M'Gladbach,1.5,2.6,54.0,81365.0,Marco Reus,4-4-2,Sascha Stegemann,Match Report,,1,16,7,43.8,0.06,0.14,14.5,0.0,0,0,1.5,0.09,-0.5,-0.5,2019-2020,Dortmund,
8,2019-10-26,15:30,Matchweek 9,Sat,Away,D,0.0,0.0,Schalke 04,0.3,1.1,56.0,61873.0,Marco Reus,4-2-3-1,Felix Brych,Match Report,,0,8,3,37.5,0.0,0.0,20.8,0.0,0,0,0.3,0.04,-0.3,-0.3,2019-2020,Dortmund,
9,2019-11-02,15:30,Matchweek 10,Sat,Home,W,3.0,0.0,Wolfsburg,2.2,1.5,64.0,80200.0,Marco Reus,4-2-3-1,Tobias Welz,Match Report,,3,16,7,43.8,0.13,0.29,19.7,1.0,1,1,1.4,0.09,0.8,0.6,2019-2020,Dortmund,
10,2019-11-09,18:30,Matchweek 11,Sat,Away,L,0.0,4.0,Bayern Munich,0.7,3.7,40.0,75000.0,Mats Hummels,4-2-3-1,Felix Zwayer,Match Report,,0,2,0,0.0,0.0,,6.0,0.0,0,0,0.7,0.37,-0.7,-0.7,2019-2020,Dortmund,
11,2019-11-22,20:30,Matchweek 12,Fri,Home,D,3.0,3.0,Paderborn 07,1.8,2.1,67.0,81365.0,Marco Reus,4-2-3-1,Christian Dingert,Match Report,,3,17,7,41.2,0.18,0.43,14.3,0.0,0,0,1.8,0.11,1.2,1.2,2019-2020,Dortmund,
12,2019-11-30,15:30,Matchweek 13,Sat,Away,W,2.0,1.0,Hertha BSC,1.2,1.0,51.0,74667.0,Marco Reus,3-4-3,Sven Jablonski,Match Report,,2,7,5,71.4,0.29,0.4,15.2,0.0,0,0,1.2,0.17,0.8,0.8,2019-2020,Dortmund,
13,2019-12-07,15:30,Matchweek 14,Sat,Home,W,5.0,0.0,Düsseldorf,3.7,0.1,73.0,81365.0,Marco Reus,3-4-3,Daniel Siebert,Match Report,,5,23,10,43.5,0.22,0.5,18.2,0.0,0,0,3.7,0.16,1.3,1.3,2019-2020,Dortmund,
14,2019-12-14,15:30,Matchweek 15,Sat,Away,W,4.0,0.0,Mainz 05,1.4,0.3,62.0,33305.0,Marco Reus,3-4-3,Benjamin Cortus,Match Report,,4,18,7,38.9,0.22,0.57,16.6,0.0,0,0,1.4,0.08,2.6,2.6,2019-2020,Dortmund,
15,2019-12-17,20:30,Matchweek 16,Tue,Home,D,3.0,3.0,RB Leipzig,1.8,2.2,56.0,80200.0,Marco Reus,3-4-3,Tobias Stieler,Match Report,,3,14,6,42.9,0.21,0.5,13.2,0.0,0,0,1.8,0.13,1.2,1.2,2019-2020,Dortmund,
16,2019-12-20,20:30,Matchweek 17,Fri,Away,L,1.0,2.0,Hoffenheim,2.2,1.3,51.0,30150.0,Mats Hummels,3-4-3,Felix Zwayer,Match Report,,1,12,5,41.7,0.08,0.2,13.6,0.0,0,0,2.2,0.19,-1.2,-1.2,2019-2020,Dortmund,
17,2020-01-18,15:30,Matchweek 18,Sat,Away,W,5.0,3.0,Augsburg,3.7,1.8,70.0,30660.0,Marco Reus,3-4-3,Manuel Gräfe,Match Report,,5,17,8,47.1,0.29,0.63,16.8,0.0,0,0,3.7,0.22,1.3,1.3,2019-2020,Dortmund,
18,2020-01-24,20:30,Matchweek 19,Fri,Home,W,5.0,1.0,Köln,2.8,1.1,59.0,81365.0,Marco Reus,3-4-3,Harm Osmers,Match Report,,5,14,9,64.3,0.36,0.56,13.2,1.0,0,0,2.8,0.22,2.2,2.2,2019-2020,Dortmund,
