,date,time,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,gls,sh,sot,sot%,g/sh,g/sot,dist,fk,pk,pkatt,npxg,npxg/sh,g-xg,np:g-xg,sota,saves,save%,cs,psxg,psxg+/-,pka,pksv,pkm,cmp,att,cmp%,att (gk),thr,launch%,avglen,att,launch%,avglen,opp,stp,stp%,#opa,avgdist,season,team
4,2023-09-16,15:00,Matchweek 5,Sat,Away,W,3.0,1.0,West Ham,3.6,0.9,68.0,62475.0,Kyle Walker,4-2-3-1,Andy Madley,Match Report,,3,29,13,44.8,0.1,0.23,16.4,1,0,0,3.6,0.13,-0.6,-0.6,3,2,66.7,0,1.3,0.3,0,0,0,2,5,40.0,29,5,17.2,26.3,2,0.0,15.0,8,0,0.0,0,11.5,2023-2024,Manchester City
5,2023-09-23,15:00,Matchweek 6,Sat,Home,W,2.0,0.0,Nott'ham Forest,1.3,1.0,57.0,53413.0,Kyle Walker,4-2-3-1,Anthony Taylor,Match Report,,2,7,4,57.1,0.29,0.5,17.2,2,0,0,1.3,0.19,0.7,0.7,3,3,100.0,1,0.4,0.4,0,0,0,7,19,36.8,30,3,36.7,37.9,8,100.0,71.9,13,3,23.1,1,11.0,2023-2024,Manchester City
6,2023-09-30,15:00,Matchweek 7,Sat,Away,L,1.0,2.0,Wolves,0.9,0.4,68.0,31415.0,Kyle Walker,4-2-3-1,Craig Pawson,Match Report,,1,23,8,34.8,0.04,0.13,19.3,1,0,0,0.9,0.04,0.1,0.1,1,0,-100.0,0,0.8,-0.2,0,0,0,0,1,0.0,15,2,6.7,21.3,3,0.0,22.3,5,0,0.0,0,9.0,2023-2024,Manchester City
7,2023-10-08,16:30,Matchweek 8,Sun,Away,L,0.0,1.0,Arsenal,0.5,0.4,51.0,60233.0,Kyle Walker,4-3-3,Michael Oliver,Match Report,,0,4,0,0.0,0.0,,14.9,0,0,0,0.5,0.12,-0.5,-0.5,2,1,50.0,0,0.2,-0.8,0,0,0,5,12,41.7,48,5,20.8,33.3,5,40.0,35.8,10,1,10.0,0,8.3,2023-2024,Manchester City
8,2023-10-21,15:00,Matchweek 9,Sat,Home,W,2.0,1.0,Brighton,0.8,0.8,55.0,53466.0,Kyle Walker,3-2-4-1,Robert Jones,Match Report,,2,10,5,50.0,0.2,0.4,18.8,1,0,0,0.8,0.08,1.2,1.2,3,2,66.7,0,1.0,0.0,0,0,0,5,19,26.3,57,2,31.6,30.9,4,25.0,23.8,7,1,14.3,1,11.3,2023-2024,Manchester City
9,2023-10-29,15:30,Matchweek 10,Sun,Away,W,3.0,0.0,Manchester Utd,4.0,0.9,60.0,73502.0,Kyle Walker,4-2-3-1,Paul Tierney,Match Report,,3,20,9,45.0,0.1,0.22,17.2,2,1,1,3.2,0.16,-1.0,-1.2,3,3,100.0,1,0.2,0.2,0,0,0,6,14,42.9,38,3,31.6,31.3,5,40.0,35.2,12,0,0.0,0,12.5,2023-2024,Manchester City
10,2023-11-04,15:00,Matchweek 11,Sat,Home,W,6.0,1.0,Bournemouth,1.9,0.9,65.0,53358.0,Kyle Walker,3-4-3,Craig Pawson,Match Report,,6,21,8,38.1,0.29,0.75,16.4,0,0,0,1.9,0.09,4.1,4.1,1,0,0.0,0,0.5,-0.5,0,0,0,1,5,20.0,46,1,10.9,25.1,3,0.0,13.7,4,0,0.0,0,,2023-2024,Manchester City
11,2023-11-12,16:30,Matchweek 12,Sun,Away,D,4.0,4.0,Chelsea,2.9,2.9,55.0,39532.0,Kyle Walker,3-2-4-1,Anthony Taylor,Match Report,,4,14,9,64.3,0.21,0.33,16.6,1,1,1,2.1,0.15,1.1,0.9,9,5,66.7,0,4.0,0.0,1,0,0,4,7,57.1,40,6,15.0,26.5,3,33.3,27.3,6,3,50.0,1,9.5,2023-2024,Manchester City
12,2023-11-25,12:30,Matchweek 13,Sat,Home,D,1.0,1.0,Liverpool,1.3,0.6,59.0,53289.0,Kyle Walker,3-2-4-1,Chris Kavanagh,Match Report,,1,16,5,31.3,0.06,0.2,16.3,1,0,0,1.3,0.08,-0.3,-0.3,3,2,66.7,0,0.7,-0.3,0,0,0,4,7,57.1,42,4,16.7,24.8,3,0.0,12.7,9,2,22.2,0,6.8,2023-2024,Manchester City
13,2023-12-03,16:30,Matchweek 14,Sun,Home,D,3.0,3.0,Tottenham,2.6,0.5,55.0,53473.0,Kyle Walker,3-2-4-1,Simon Hooper,Match Report,,2,17,4,23.5,0.12,0.5,13.4,0,0,0,2.6,0.15,-0.6,-0.6,4,1,25.0,0,1.2,-1.8,0,0,0,8,13,61.5,42,4,23.8,28.4,3,100.0,63.7,8,1,12.5,0,5.0,2023-2024,Manchester City
14,2023-12-06,20:15,Matchweek 15,Wed,Away,L,0.0,1.0,Aston Villa,0.6,2.3,54.0,41421.0,Kyle Walker,3-2-4-1,John Brooks,Match Report,,0,2,2,100.0,0.0,0.0,7.4,0,0,0,0.6,0.37,-0.6,-0.6,7,6,85.7,0,1.7,0.7,0,0,0,3,7,42.9,33,4,18.2,28.4,8,12.5,27.3,12,0,0.0,0,5.0,2023-2024,Manchester City
