,date,time,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,gls,sh,sot,sot%,g/sh,g/sot,dist,fk,pk,pkatt,npxg,npxg/sh,g-xg,np:g-xg,sota,saves,save%,cs,psxg,psxg+/-,pka,pksv,pkm,cmp,att,cmp%,att (gk),thr,launch%,avglen,att,launch%,avglen,opp,stp,stp%,#opa,avgdist,totdist,prgdist,ast,xag,xa,kp,1/3,ppa,crspa,prgp,live,dead,tb,sw,crs,ti,ck,in,out,str,off,blocks,sca,passlive,passdead,to,fld,def,gca,passlive,passdead,to,fld,def,tkl,tklw,def 3rd,mid 3rd,att 3rd,tkl,tkl%,lost,pass,int,tkl+int,clr,err,touches,def pen,att pen,succ,succ%,tkld,tkld%,carries,prgc,cpa,mis,dis,rec,prgr,crdy,crdr,2crdy,fls,pkwon,pkcon,og,recov,won,won%,season,team
20,2020-01-11,17:30,Matchweek 22,Sat,Away,W,1.0,0.0,Tottenham,1.2,1.2,67.0,61023.0,Jordan Henderson,4-3-3,Martin Atkinson,Match Report,,1,13,6,46.2,0.08,0.17,13.8,0,0,0,1.2,0.09,-0.2,-0.2,4,4,100.0,1,0.3,0.3,0,0,0,4,10,40.0,24,5,33.3,31.3,8,25.0,30.1,7,0,0.0,5,26.1,11916,3404,1,1.1,2.2,11,46,13,3,54,791,39,3,5,18,21,3,0,2,0,2,11,25,20,1,2,0,1,2,1,1,0,0,0,20,12,9,10,1,9,37.5,15,2,6,26,9,2,919,44,52,20,83.3,4,16.7,710,36,10,15,9,706,54,2,0,0,8,0,0,0,62,15,62.5,2019-2020,Liverpool
21,2020-01-19,16:30,Matchweek 23,Sun,Home,W,2.0,0.0,Manchester Utd,1.9,1.3,53.0,52916.0,Jordan Henderson,4-3-3,Craig Pawson,Match Report,,2,16,5,31.3,0.13,0.4,15.5,0,0,0,1.9,0.12,0.1,0.1,4,4,100.0,1,0.2,0.2,0,0,0,4,15,26.7,41,5,31.7,33.4,8,25.0,28.6,17,0,0.0,0,13.5,7885,2981,2,1.8,1.1,14,30,9,3,47,509,55,2,3,28,22,11,2,5,0,2,7,27,20,2,4,1,0,3,2,1,0,0,0,22,11,10,9,3,5,35.7,9,7,10,32,14,1,674,84,30,16,64.0,9,36.0,451,25,10,21,7,429,47,1,0,0,7,0,0,0,68,16,57.1,2019-2020,Liverpool
22,2020-01-23,20:00,Matchweek 24,Thu,Away,W,2.0,1.0,Wolves,1.1,1.8,53.0,31746.0,Jordan Henderson,4-3-3,Michael Oliver,Match Report,,2,13,6,46.2,0.15,0.33,14.7,1,0,0,1.1,0.09,0.9,0.9,3,2,66.7,0,1.4,0.4,0,0,0,4,5,80.0,30,8,10.0,25.0,5,40.0,32.8,20,0,0.0,2,21.2,8356,2665,2,0.6,0.4,8,27,4,3,34,596,32,1,9,12,14,4,1,3,0,0,5,22,14,1,4,1,0,4,2,1,0,0,0,11,6,6,4,1,5,20.8,19,8,11,22,21,0,727,68,17,13,72.2,5,27.8,496,30,5,14,6,521,34,1,0,0,11,0,0,0,57,11,36.7,2019-2020,Liverpool
23,2020-01-29,19:45,Matchweek 18,Wed,Away,W,2.0,0.0,West Ham,2.8,0.7,70.0,59959.0,Jordan Henderson,4-3-3,Jonathan Moss,Match Report,,2,12,4,33.3,0.08,0.25,20.2,1,1,1,2.0,0.17,-0.8,-1.0,4,4,100.0,1,0.7,0.7,0,0,0,1,6,16.7,23,7,17.4,25.7,6,33.3,29.8,12,1,8.3,2,19.3,13109,3582,1,1.4,1.3,9,52,9,2,56,836,37,1,4,20,18,7,1,4,0,0,9,24,18,0,2,2,1,4,2,0,1,1,0,17,9,5,6,6,9,42.9,12,9,8,25,14,2,975,48,28,10,58.8,7,41.2,735,14,4,14,10,760,56,0,0,0,6,1,0,0,51,13,44.8,2019-2020,Liverpool
24,2020-02-01,15:00,Matchweek 25,Sat,Home,W,4.0,0.0,Southampton,3.2,0.8,62.0,53291.0,Jordan Henderson,4-3-3,Kevin Friend,Match Report,,4,16,9,56.3,0.25,0.44,15.0,1,0,0,3.2,0.2,0.8,0.8,4,4,100.0,1,0.3,0.3,0,0,0,5,12,41.7,36,5,13.9,25.9,13,53.8,39.8,14,0,0.0,1,19.3,7762,2850,4,3.0,1.4,13,26,6,0,34,511,68,1,6,15,29,6,3,1,0,2,14,31,25,0,2,1,0,8,8,0,0,0,0,14,9,7,4,3,4,28.6,10,7,11,25,24,1,683,92,25,8,57.1,6,42.9,367,18,7,9,12,431,33,0,0,0,9,0,0,0,49,15,46.9,2019-2020,Liverpool
25,2020-02-15,17:30,Matchweek 26,Sat,Away,W,1.0,0.0,Norwich City,2.0,0.3,63.0,27110.0,Jordan Henderson,4-3-3,Stuart Attwell,Match Report,,1,17,6,35.3,0.06,0.17,16.5,0,0,0,2.0,0.12,-1.0,-1.0,1,1,100.0,1,0.0,0.0,0,0,0,1,3,33.3,19,3,5.3,23.4,5,40.0,40.6,2,0,0.0,1,19.7,9383,2691,1,1.1,1.2,13,42,17,2,60,638,47,1,10,30,28,7,2,2,0,0,6,28,23,2,0,0,0,2,2,0,0,0,0,16,11,6,4,6,6,50.0,6,14,5,21,8,0,777,30,40,5,31.3,11,68.8,531,30,11,16,6,553,60,2,0,0,11,0,0,0,66,12,57.1,2019-2020,Liverpool
26,2020-02-24,20:00,Matchweek 27,Mon,Home,W,3.0,2.0,West Ham,2.4,0.7,69.0,53313.0,Virgil van Dijk,4-3-3,Jonathan Moss,Match Report,,3,25,7,28.0,0.12,0.43,16.2,1,0,0,2.4,0.1,0.6,0.6,4,2,50.0,0,0.7,-1.3,0,0,0,3,5,60.0,19,7,21.1,27.2,2,50.0,41.0,20,0,0.0,1,25.0,9174,3008,3,1.9,1.6,21,45,17,6,51,639,51,0,4,38,19,16,5,6,0,2,5,42,24,6,3,2,1,5,3,0,0,0,0,23,16,8,7,8,14,41.2,20,4,8,31,22,0,819,46,49,16,59.3,11,40.7,543,32,9,17,8,559,51,0,0,0,4,0,0,0,67,23,47.9,2019-2020,Liverpool
27,2020-02-29,17:30,Matchweek 28,Sat,Away,L,0.0,3.0,Watford,0.3,2.3,70.0,21634.0,Virgil van Dijk,4-3-3,Michael Oliver,Match Report,,0,7,1,14.3,0.0,0.0,22.6,1,0,0,0.3,0.04,-0.3,-0.3,5,2,40.0,0,1.7,-1.3,0,0,0,1,2,50.0,31,2,6.5,24.0,8,0.0,16.0,12,1,8.3,3,20.0,11153,3181,0,0.2,0.6,5,58,16,1,64,735,46,1,2,26,21,5,2,2,0,1,6,14,13,0,0,1,0,0,0,0,0,0,0,8,2,3,4,1,4,40.0,6,10,5,13,13,3,874,56,29,9,56.3,7,43.8,621,29,7,14,6,635,63,0,0,0,8,0,0,0,63,17,45.9,2019-2020,Liverpool
28,2020-03-07,12:30,Matchweek 29,Sat,Home,W,2.0,1.0,Bournemouth,1.8,1.4,74.0,53323.0,James Milner,4-3-3,Paul Tierney,Match Report,,2,14,6,42.9,0.14,0.33,19.7,0,0,0,1.8,0.13,0.2,0.2,3,2,66.7,0,1.1,0.1,0,0,0,5,8,62.5,15,3,33.3,30.6,4,75.0,39.5,11,0,0.0,4,22.3,11263,3125,2,1.7,1.0,12,54,12,3,55,730,58,5,4,30,26,9,3,4,0,1,16,26,23,1,1,0,1,3,2,0,0,0,1,7,4,2,2,3,3,33.3,6,6,11,18,20,0,880,44,30,14,70.0,6,30.0,655,27,6,13,3,652,55,0,0,0,10,0,0,0,50,18,48.6,2019-2020,Liverpool
29,2020-06-21,19:00,Matchweek 30,Sun,Away,D,0.0,0.0,Everton,0.7,0.9,69.0,,Jordan Henderson,4-3-3,Mike Dean,Match Report,,0,10,3,30.0,0.0,0.0,18.5,3,0,0,0.7,0.07,-0.7,-0.7,3,3,100.0,1,0.6,0.6,0,0,0,2,5,40.0,28,2,10.7,23.4,6,33.3,38.7,3,0,0.0,4,25.0,9908,3004,0,0.5,0.9,7,48,8,1,49,588,54,0,10,19,27,6,1,5,0,1,10,18,9,4,2,3,0,0,0,0,0,0,0,16,12,3,8,5,6,46.2,7,7,10,26,3,0,729,30,22,7,58.3,5,41.7,437,24,5,15,15,533,48,2,0,0,12,0,0,0,58,27,56.3,2019-2020,Liverpool
